Company,GL Level 02,GL Level 03,GL Level 04,GL Level 05,GL Level 06,Income Balance,Posting Date,Budget,Budget Reverse Sign,Budget Variance,Budget Variance Reverse Sign,Amount,Amount Reverse Sign,Amount LY,Amount LY Reverse Sign,Amount Variance,Amount Variance Reverse Sign,Balance,Balance Reverse Sign,Balance LY,Balance LY Reverse,Balance Variance,Balance Variance Reverse Sign,Closing Entry,Quarter
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/03/2019 00:00,4744,-4744,97,-97,4841,-4841,3471,-3471,1370,-1370,150954,-150954,99104,-99104,51850,-51850,Regular Entry,2019 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/03/2019 00:00,4744,-4744,-4744,4744,,,,,,,,,,,,,Unknown,2019 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/04/2019 00:00,5641,-5641,-5641,5641,,,,,,,,,,,,,Closing Entry,2019 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/04/2019 00:00,5641,-5641,0,0,5641,-5641,3625,-3625,2016,-2016,156595,-156595,102729,-102729,53866,-53866,Regular Entry,2019 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/04/2019 00:00,5641,-5641,-5641,5641,,,,,,,,,,,,,Unknown,2019 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/05/2019 00:00,5641,-5641,-5641,5641,,,,,,,,,,,,,Closing Entry,2019 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/05/2019 00:00,5641,-5641,-56,56,5585,-5585,3796,-3796,1789,-1789,162180,-162180,106525,-106525,55655,-55655,Regular Entry,2019 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/05/2019 00:00,5641,-5641,-5641,5641,,,,,,,,,,,,,Unknown,2019 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/06/2019 00:00,7267,-7267,-7267,7267,,,,,,,,,,,,,Closing Entry,2019 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/06/2019 00:00,7267,-7267,-279,279,6987,-6987,4057,-4057,2930,-2930,169168,-169168,110583,-110583,58585,-58585,Regular Entry,2019 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/06/2019 00:00,7267,-7267,-7267,7267,,,,,,,,,,,,,Unknown,2019 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/07/2019 00:00,4271,-4271,-4271,4271,,,,,,,,,,,,,Closing Entry,2019 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/07/2019 00:00,4271,-4271,87,-87,4358,-4358,4113,-4113,245,-245,173526,-173526,114695,-114695,58830,-58830,Regular Entry,2019 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/07/2019 00:00,4271,-4271,-4271,4271,,,,,,,,,,,,,Unknown,2019 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/08/2019 00:00,4175,-4175,-4175,4175,,,,,,,,,,,,,Closing Entry,2019 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/08/2019 00:00,4175,-4175,220,-220,4395,-4395,4000,-4000,395,-395,177920,-177920,118695,-118695,59226,-59226,Regular Entry,2019 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/08/2019 00:00,4175,-4175,-4175,4175,,,,,,,,,,,,,Unknown,2019 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/09/2019 00:00,4338,-4338,-4338,4338,,,,,,,,,,,,,Closing Entry,2019 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/09/2019 00:00,4338,-4338,181,-181,4519,-4519,4015,-4015,503,-503,182439,-182439,122710,-122710,59729,-59729,Regular Entry,2019 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/09/2019 00:00,4338,-4338,-4338,4338,,,,,,,,,,,,,Unknown,2019 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/10/2019 00:00,4359,-4359,-4359,4359,,,,,,,,,,,,,Closing Entry,2019 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/10/2019 00:00,4359,-4359,769,-769,5129,-5129,4448,-4448,681,-681,187568,-187568,127158,-127158,60409,-60409,Regular Entry,2019 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/10/2019 00:00,4359,-4359,-4359,4359,,,,,,,,,,,,,Unknown,2019 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/11/2019 00:00,4805,-4805,-4805,4805,,,,,,,,,,,,,Closing Entry,2019 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/11/2019 00:00,4805,-4805,655,-655,5460,-5460,5047,-5047,414,-414,193028,-193028,132205,-132205,60823,-60823,Regular Entry,2019 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/11/2019 00:00,4805,-4805,-4805,4805,,,,,,,,,,,,,Unknown,2019 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/12/2019 00:00,4336,-4336,-4336,4336,,,,,,,,,,,,,Closing Entry,2019 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/12/2019 00:00,4336,-4336,648,-648,4984,-4984,4479,-4479,505,-505,198011,-198011,136684,-136684,61328,-61328,Regular Entry,2019 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/12/2019 00:00,4336,-4336,-4336,4336,,,,,,,,,,,,,Unknown,2019 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/01/2020 00:00,4194,-4194,-4194,4194,,,,,,,,,,,,,Closing Entry,2020 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/01/2020 00:00,4194,-4194,799,-799,4993,-4993,4524,-4524,469,-469,203005,-203005,141208,-141208,61797,-61797,Regular Entry,2020 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/01/2020 00:00,4194,-4194,-4194,4194,,,,,,,,,,,,,Unknown,2020 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/02/2020 00:00,4864,-4864,-4864,4864,,,,,,,,,,,,,Closing Entry,2020 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/02/2020 00:00,4864,-4864,203,-203,5066,-5066,4905,-4905,161,-161,208071,-208071,146113,-146113,61958,-61958,Regular Entry,2020 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/02/2020 00:00,4864,-4864,-4864,4864,,,,,,,,,,,,,Unknown,2020 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/03/2020 00:00,4657,-4657,-4657,4657,,,,,,,,,,,,,Closing Entry,2020 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/03/2020 00:00,4657,-4657,95,-95,4752,-4752,4841,-4841,-89,89,212823,-212823,150954,-150954,61869,-61869,Regular Entry,2020 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/03/2020 00:00,4657,-4657,-4657,4657,,,,,,,,,,,,,Unknown,2020 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/04/2020 00:00,3091,-3091,-3091,3091,,,,,,,,,,,,,Closing Entry,2020 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/04/2020 00:00,3091,-3091,343,-343,3434,-3434,5641,-5641,-2207,2207,216257,-216257,156595,-156595,59662,-59662,Regular Entry,2020 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/04/2020 00:00,3091,-3091,-3091,3091,,,,,,,,,,,,,Unknown,2020 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/05/2020 00:00,2773,-2773,-2773,2773,,,,,,,,,,,,,Closing Entry,2020 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/05/2020 00:00,2773,-2773,57,-57,2830,-2830,5585,-5585,-2756,2756,219087,-219087,162180,-162180,56907,-56907,Regular Entry,2020 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/05/2020 00:00,2773,-2773,-2773,2773,,,,,,,,,,,,,Unknown,2020 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/06/2020 00:00,3103,-3103,-3103,3103,,,,,,,,,,,,,Closing Entry,2020 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/06/2020 00:00,3103,-3103,464,-464,3566,-3566,6987,-6987,-3421,3421,222653,-222653,169168,-169168,53486,-53486,Regular Entry,2020 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/06/2020 00:00,3103,-3103,-3103,3103,,,,,,,,,,,,,Unknown,2020 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/07/2020 00:00,2144,-2144,-2144,2144,,,,,,,,,,,,,Closing Entry,2020 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/07/2020 00:00,2144,-2144,320,-320,2464,-2464,4358,-4358,-1894,1894,225117,-225117,173526,-173526,51592,-51592,Regular Entry,2020 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/07/2020 00:00,2144,-2144,-2144,2144,,,,,,,,,,,,,Unknown,2020 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/08/2020 00:00,2393,-2393,-2393,2393,,,,,,,,,,,,,Closing Entry,2020 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/08/2020 00:00,2393,-2393,296,-296,2688,-2688,4395,-4395,-1707,1707,227805,-227805,177920,-177920,49885,-49885,Regular Entry,2020 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/08/2020 00:00,2393,-2393,-2393,2393,,,,,,,,,,,,,Unknown,2020 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/09/2020 00:00,2747,-2747,-2747,2747,,,,,,,,,,,,,Closing Entry,2020 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/09/2020 00:00,2747,-2747,85,-85,2832,-2832,4519,-4519,-1687,1687,230637,-230637,182439,-182439,48198,-48198,Regular Entry,2020 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/09/2020 00:00,2747,-2747,-2747,2747,,,,,,,,,,,,,Unknown,2020 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/10/2020 00:00,2717,-2717,-2717,2717,,,,,,,,,,,,,Closing Entry,2020 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/10/2020 00:00,2717,-2717,302,-302,3019,-3019,5129,-5129,-2110,2110,233656,-233656,187568,-187568,46088,-46088,Regular Entry,2020 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/10/2020 00:00,2717,-2717,-2717,2717,,,,,,,,,,,,,Unknown,2020 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/11/2020 00:00,3280,-3280,-3280,3280,,,,,,,,,,,,,Closing Entry,2020 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/11/2020 00:00,3280,-3280,-64,64,3216,-3216,5460,-5460,-2245,2245,236871,-236871,193028,-193028,43843,-43843,Regular Entry,2020 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/11/2020 00:00,3280,-3280,-3280,3280,,,,,,,,,,,,,Unknown,2020 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/12/2020 00:00,2433,-2433,-2433,2433,,,,,,,,,,,,,Closing Entry,2020 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/12/2020 00:00,2433,-2433,241,-241,2673,-2673,4984,-4984,-2310,2310,239545,-239545,198011,-198011,41533,-41533,Regular Entry,2020 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62400 - Vacation Compensation,,,Income Statement,01/12/2020 00:00,2433,-2433,-2433,2433,,,,,,,,,,,,,Unknown,2020 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,,,,,,,,24967,-24967,-24967,24967,1197723,-1197723,1015024,-1015024,182698,-182698,Regular Entry,Unknown
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/01/2016 00:00,16214,-16214,-16214,16214,,,,,,,,,,,,,Closing Entry,2016 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/01/2016 00:00,16214,-16214,-624,624,15590,-15590,,,15590,-15590,15590,-15590,,,15590,-15590,Regular Entry,2016 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/01/2016 00:00,16214,-16214,-16214,16214,,,,,,,,,,,,,Unknown,2016 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/02/2016 00:00,17364,-17364,-17364,17364,,,,,,,,,,,,,Closing Entry,2016 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/02/2016 00:00,17364,-17364,-1579,1579,15786,-15786,,,15786,-15786,31376,-31376,,,31376,-31376,Regular Entry,2016 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/02/2016 00:00,17364,-17364,-17364,17364,,,,,,,,,,,,,Unknown,2016 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/03/2016 00:00,18412,-18412,-18412,18412,,,,,,,,,,,,,Closing Entry,2016 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/03/2016 00:00,18412,-18412,-1042,1042,17369,-17369,,,17369,-17369,48745,-48745,,,48745,-48745,Regular Entry,2016 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/03/2016 00:00,18412,-18412,-18412,18412,,,,,,,,,,,,,Unknown,2016 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/04/2016 00:00,16215,-16215,-16215,16215,,,,,,,,,,,,,Closing Entry,2016 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/04/2016 00:00,16215,-16215,0,0,16215,-16215,,,16215,-16215,64960,-64960,,,64960,-64960,Regular Entry,2016 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/04/2016 00:00,16215,-16215,-16215,16215,,,,,,,,,,,,,Unknown,2016 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/05/2016 00:00,19323,-19323,-19323,19323,,,,,,,,,,,,,Closing Entry,2016 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/05/2016 00:00,19323,-19323,-3085,3085,16238,-16238,,,16238,-16238,81198,-81198,,,81198,-81198,Regular Entry,2016 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/05/2016 00:00,19323,-19323,-19323,19323,,,,,,,,,,,,,Unknown,2016 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/06/2016 00:00,20807,-20807,-20807,20807,,,,,,,,,,,,,Closing Entry,2016 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/06/2016 00:00,20807,-20807,-3322,3322,17485,-17485,,,17485,-17485,98683,-98683,,,98683,-98683,Regular Entry,2016 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/06/2016 00:00,20807,-20807,-20807,20807,,,,,,,,,,,,,Unknown,2016 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/07/2016 00:00,24028,-24028,-24028,24028,,,,,,,,,,,,,Closing Entry,2016 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/07/2016 00:00,24028,-24028,-4170,4170,19858,-19858,,,19858,-19858,118541,-118541,,,118541,-118541,Regular Entry,2016 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/07/2016 00:00,24028,-24028,-24028,24028,,,,,,,,,,,,,Unknown,2016 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/08/2016 00:00,21127,-21127,-21127,21127,,,,,,,,,,,,,Closing Entry,2016 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/08/2016 00:00,21127,-21127,-4750,4750,16378,-16378,,,16378,-16378,134919,-134919,,,134919,-134919,Regular Entry,2016 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/08/2016 00:00,21127,-21127,-21127,21127,,,,,,,,,,,,,Unknown,2016 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/09/2016 00:00,16923,-16923,-16923,16923,,,,,,,,,,,,,Closing Entry,2016 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/09/2016 00:00,16923,-16923,705,-705,17628,-17628,,,17628,-17628,152547,-152547,,,152547,-152547,Regular Entry,2016 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/09/2016 00:00,16923,-16923,-16923,16923,,,,,,,,,,,,,Unknown,2016 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/10/2016 00:00,18129,-18129,-18129,18129,,,,,,,,,,,,,Closing Entry,2016 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/10/2016 00:00,18129,-18129,-1797,1797,16332,-16332,,,16332,-16332,168880,-168880,,,168880,-168880,Regular Entry,2016 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/10/2016 00:00,18129,-18129,-18129,18129,,,,,,,,,,,,,Unknown,2016 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/11/2016 00:00,22069,-22069,-22069,22069,,,,,,,,,,,,,Closing Entry,2016 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/11/2016 00:00,22069,-22069,-1635,1635,20434,-20434,,,20434,-20434,189314,-189314,,,189314,-189314,Regular Entry,2016 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/11/2016 00:00,22069,-22069,-22069,22069,,,,,,,,,,,,,Unknown,2016 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/12/2016 00:00,19626,-19626,-19626,19626,,,,,,,,,,,,,Closing Entry,2016 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/12/2016 00:00,19626,-19626,-1454,1454,18173,-18173,,,18173,-18173,207486,-207486,,,207486,-207486,Regular Entry,2016 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/12/2016 00:00,19626,-19626,-19626,19626,,,,,,,,,,,,,Unknown,2016 Q4
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/01/2017 00:00,19607,-19607,-19607,19607,,,,,,,,,,,,,Closing Entry,2017 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/01/2017 00:00,19607,-19607,400,-400,20007,-20007,15590,-15590,4417,-4417,227493,-227493,15590,-15590,211903,-211903,Regular Entry,2017 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/01/2017 00:00,19607,-19607,-19607,19607,,,,,,,,,,,,,Unknown,2017 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/02/2017 00:00,22093,-22093,-22093,22093,,,,,,,,,,,,,Closing Entry,2017 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/02/2017 00:00,22093,-22093,-1637,1637,20457,-20457,15786,-15786,4671,-4671,247950,-247950,31376,-31376,216574,-216574,Regular Entry,2017 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/02/2017 00:00,22093,-22093,-22093,22093,,,,,,,,,,,,,Unknown,2017 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/03/2017 00:00,22349,-22349,-22349,22349,,,,,,,,,,,,,Closing Entry,2017 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/03/2017 00:00,22349,-22349,-651,651,21698,-21698,17369,-17369,4328,-4328,269648,-269648,48745,-48745,220902,-220902,Regular Entry,2017 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/03/2017 00:00,22349,-22349,-22349,22349,,,,,,,,,,,,,Unknown,2017 Q1
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/04/2017 00:00,22831,-22831,-22831,22831,,,,,,,,,,,,,Closing Entry,2017 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/04/2017 00:00,22831,-22831,-1691,1691,21140,-21140,16215,-16215,4924,-4924,290787,-290787,64960,-64960,225827,-225827,Regular Entry,2017 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/04/2017 00:00,22831,-22831,-22831,22831,,,,,,,,,,,,,Unknown,2017 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/05/2017 00:00,19982,-19982,-19982,19982,,,,,,,,,,,,,Closing Entry,2017 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/05/2017 00:00,19982,-19982,833,-833,20815,-20815,16238,-16238,4577,-4577,311602,-311602,81198,-81198,230404,-230404,Regular Entry,2017 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/05/2017 00:00,19982,-19982,-19982,19982,,,,,,,,,,,,,Unknown,2017 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/06/2017 00:00,26764,-26764,-26764,26764,,,,,,,,,,,,,Closing Entry,2017 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/06/2017 00:00,26764,-26764,-3692,3692,23072,-23072,17485,-17485,5587,-5587,334674,-334674,98683,-98683,235991,-235991,Regular Entry,2017 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/06/2017 00:00,26764,-26764,-26764,26764,,,,,,,,,,,,,Unknown,2017 Q2
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/07/2017 00:00,21802,-21802,-21802,21802,,,,,,,,,,,,,Closing Entry,2017 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/07/2017 00:00,21802,-21802,-3326,3326,18476,-18476,19858,-19858,-1382,1382,353151,-353151,118541,-118541,234609,-234609,Regular Entry,2017 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/07/2017 00:00,21802,-21802,-21802,21802,,,,,,,,,,,,,Unknown,2017 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/08/2017 00:00,19116,-19116,-19116,19116,,,,,,,,,,,,,Closing Entry,2017 Q3
CRONUS JetCorp UK,Operating Expenses,Personnel Expenses,62500 - Payroll Taxes,,,Income Statement,01/08/2017 00:00,19116,-19116,-735,735,18381,-18381,16378,-16378,2003,-2003,371531,-371531,134919,-134919,236612,-236612,Regular Entry,2017 Q3
